unique_id,ds,horizon,group,model,y_pred
household_1,2010-11-27 03:00:00,6,ML,hist_gradient_boosting,0.5114140238004582
household_1,2010-11-27 04:00:00,7,ML,hist_gradient_boosting,0.5420254047749027
household_1,2010-11-27 05:00:00,8,ML,hist_gradient_boosting,0.5707988413485694
household_1,2010-11-27 06:00:00,9,ML,hist_gradient_boosting,0.9039194669850716
household_1,2010-11-27 07:00:00,10,ML,hist_gradient_boosting,2.2807427533003453
household_1,2010-11-27 08:00:00,11,ML,hist_gradient_boosting,1.840302810612276
household_1,2010-11-27 09:00:00,12,ML,hist_gradient_boosting,1.7008506445371818
household_1,2010-11-27 10:00:00,13,ML,hist_gradient_boosting,1.6552918821245075
household_1,2010-11-27 11:00:00,14,ML,hist_gradient_boosting,1.7661070378933943
household_1,2010-11-27 12:00:00,15,ML,hist_gradient_boosting,1.625205189522105
household_1,2010-11-27 13:00:00,16,ML,hist_gradient_boosting,1.4806125157035432
household_1,2010-11-27 14:00:00,17,ML,hist_gradient_boosting,1.3985774899869248
household_1,2010-11-27 15:00:00,18,ML,hist_gradient_boosting,1.247412194892148
household_1,2010-11-27 16:00:00,19,ML,hist_gradient_boosting,1.1538723095600885
household_1,2010-11-27 17:00:00,20,ML,hist_gradient_boosting,1.4473875946946901
household_1,2010-11-27 18:00:00,21,ML,hist_gradient_boosting,1.6950839879613737
household_1,2010-11-27 19:00:00,22,ML,hist_gradient_boosting,1.9846897471149068
household_1,2010-11-27 20:00:00,23,ML,hist_gradient_boosting,2.0164335454354414
household_1,2010-11-27 21:00:00,24,ML,hist_gradient_boosting,1.826554217803836
household_1,2010-11-26 22:00:00,1,DL,mlp_small,0.664167787998206
household_1,2010-11-26 23:00:00,2,DL,mlp_small,0.3314659080232125
household_1,2010-11-27 00:00:00,3,DL,mlp_small,0.3160224609518595
household_1,2010-11-27 01:00:00,4,DL,mlp_small,0.25003882075795
household_1,2010-11-27 02:00:00,5,DL,mlp_small,0.27603991698649116
household_1,2010-11-27 03:00:00,6,DL,mlp_small,0.31285584115299075
household_1,2010-11-27 04:00:00,7,DL,mlp_small,0.4503006452014107
household_1,2010-11-27 05:00:00,8,DL,mlp_small,0.5834284587807215
household_1,2010-11-27 06:00:00,9,DL,mlp_small,0.8934207857229746
household_1,2010-11-27 07:00:00,10,DL,mlp_small,1.8545292563116533
household_1,2010-11-27 08:00:00,11,DL,mlp_small,1.9376929164271952
household_1,2010-11-27 09:00:00,12,DL,mlp_small,1.9396745502066475
household_1,2010-11-27 10:00:00,13,DL,mlp_small,1.9504723574743297
household_1,2010-11-27 11:00:00,14,DL,mlp_small,1.890155988547917
household_1,2010-11-27 12:00:00,15,DL,mlp_small,2.0032151973292245
household_1,2010-11-27 13:00:00,16,DL,mlp_small,2.1735285776079887
household_1,2010-11-27 14:00:00,17,DL,mlp_small,2.28457526106119
household_1,2010-11-27 15:00:00,18,DL,mlp_small,2.383525057098435
household_1,2010-11-27 16:00:00,19,DL,mlp_small,2.4185736320790046
household_1,2010-11-27 17:00:00,20,DL,mlp_small,2.6525104821798102
household_1,2010-11-27 18:00:00,21,DL,mlp_small,2.863104812983789
household_1,2010-11-27 19:00:00,22,DL,mlp_small,2.812678376884567
household_1,2010-11-27 20:00:00,23,DL,mlp_small,2.5739841099073373
household_1,2010-11-27 21:00:00,24,DL,mlp_small,2.2309623662804556
household_1,2010-11-26 22:00:00,1,DL,mlp_medium,0.7369235386629062
household_1,2010-11-26 23:00:00,2,DL,mlp_medium,0.5724184343187437
household_1,2010-11-27 00:00:00,3,DL,mlp_medium,0.598051099269072
household_1,2010-11-27 01:00:00,4,DL,mlp_medium,0.5672220764354243
household_1,2010-11-27 02:00:00,5,DL,mlp_medium,0.47500036160272796
household_1,2010-11-27 03:00:00,6,DL,mlp_medium,0.4723991633715027
household_1,2010-11-27 04:00:00,7,DL,mlp_medium,0.44667148001534296
household_1,2010-11-27 05:00:00,8,DL,mlp_medium,0.35445805363746624
household_1,2010-11-27 06:00:00,9,DL,mlp_medium,0.5926547577708794
household_1,2010-11-27 07:00:00,10,DL,mlp_medium,1.8920995864853218
household_1,2010-11-27 08:00:00,11,DL,mlp_medium,1.9883648927070914
household_1,2010-11-27 09:00:00,12,DL,mlp_medium,1.8326070258516993
household_1,2010-11-27 10:00:00,13,DL,mlp_medium,1.7277520065654095
household_1,2010-11-27 11:00:00,14,DL,mlp_medium,1.7921967830937588
household_1,2010-11-27 12:00:00,15,DL,mlp_medium,1.7366945641697233
household_1,2010-11-27 13:00:00,16,DL,mlp_medium,1.6871963760222726
household_1,2010-11-27 14:00:00,17,DL,mlp_medium,1.748792989678595
household_1,2010-11-27 15:00:00,18,DL,mlp_medium,1.892989839802839
household_1,2010-11-27 16:00:00,19,DL,mlp_medium,2.0804965772835833
household_1,2010-11-27 17:00:00,20,DL,mlp_medium,2.4140594756819582
household_1,2010-11-27 18:00:00,21,DL,mlp_medium,2.7429147096158237
household_1,2010-11-27 19:00:00,22,DL,mlp_medium,2.7762463862870703
household_1,2010-11-27 20:00:00,23,DL,mlp_medium,2.628259349092553
household_1,2010-11-27 21:00:00,24,DL,mlp_medium,2.315074118522453
household_1,2010-11-26 22:00:00,1,DL,mlp_deep,0.8025519273572088
household_1,2010-11-26 23:00:00,2,DL,mlp_deep,0.6888796378874036
household_1,2010-11-27 00:00:00,3,DL,mlp_deep,0.7047936652817848
household_1,2010-11-27 01:00:00,4,DL,mlp_deep,0.6789434047558683
household_1,2010-11-27 02:00:00,5,DL,mlp_deep,0.5935219893994836
household_1,2010-11-27 03:00:00,6,DL,mlp_deep,0.45075136440638597
household_1,2010-11-27 04:00:00,7,DL,mlp_deep,0.3149137192828234
household_1,2010-11-27 05:00:00,8,DL,mlp_deep,0.33562353785849564
household_1,2010-11-27 06:00:00,9,DL,mlp_deep,0.45292627154789566
household_1,2010-11-27 07:00:00,10,DL,mlp_deep,2.0848057210514557
household_1,2010-11-27 08:00:00,11,DL,mlp_deep,2.2064515051612488
household_1,2010-11-27 09:00:00,12,DL,mlp_deep,1.8241734732778372
household_1,2010-11-27 10:00:00,13,DL,mlp_deep,1.683328279472067
household_1,2010-11-27 11:00:00,14,DL,mlp_deep,1.6438739648567107
household_1,2010-11-27 12:00:00,15,DL,mlp_deep,1.6070155384102824
household_1,2010-11-27 13:00:00,16,DL,mlp_deep,1.5074305947500932
household_1,2010-11-27 14:00:00,17,DL,mlp_deep,1.4373667085241004
household_1,2010-11-27 15:00:00,18,DL,mlp_deep,1.4845026870926294
household_1,2010-11-27 16:00:00,19,DL,mlp_deep,1.5247323828793982
household_1,2010-11-27 17:00:00,20,DL,mlp_deep,1.8434028181669486
household_1,2010-11-27 18:00:00,21,DL,mlp_deep,2.3910025117154436
household_1,2010-11-27 19:00:00,22,DL,mlp_deep,2.2707111903598873
household_1,2010-11-27 20:00:00,23,DL,mlp_deep,2.2545115163727214
household_1,2010-11-27 21:00:00,24,DL,mlp_deep,2.064368721937328
